"Plot_Name","Unit_Code","Year","Network","cycle","SapPlotNum","SapPlotSize","SeedPlotNum","SeedPlotSize","ShrubPlotNum","ShrubPlotSize","HPlotNum","HPlotSize","excludeEvent","DBI","stock_final"
"DEWA-006","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,6.25
"DEWA-006","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,3.5
"DEWA-008","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,76
"DEWA-008","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,43.25
"DEWA-008","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,3.75
"DEWA-019","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,1.75
"DEWA-019","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,6.75
"DEWA-019","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2,8
"DEWA-022","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,66.75
"DEWA-022","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,68
"DEWA-022","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,62.75
"DEWA-025","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,0.25
"DEWA-025","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,0
"DEWA-025","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,0
"DEWA-026","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,25.5
"DEWA-026","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,2.25
"DEWA-026","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,3.5
"DEWA-027","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,30
"DEWA-027","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,18.25
"DEWA-027","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,25
"DEWA-029","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,75
"DEWA-029","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,116.75
"DEWA-029","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,150
"DEWA-034","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,1.25
"DEWA-034","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,12.25
"DEWA-034","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,48.25
"DEWA-037","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,92.25
"DEWA-037","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,90.75
"DEWA-037","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,64.25
"DEWA-045","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4,59.25
"DEWA-045","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,62.75
"DEWA-045","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,55.5
"DEWA-048","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,108.75
"DEWA-048","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,95.25
"DEWA-048","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,54.75
"DEWA-054","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,176
"DEWA-054","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,203.5
"DEWA-054","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,129
"DEWA-055","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,16.5
"DEWA-055","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,53.75
"DEWA-055","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,110
"DEWA-058","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4,1.25
"DEWA-058","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,0.5
"DEWA-058","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,3
"DEWA-063","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,31.75
"DEWA-063","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,63.75
"DEWA-063","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,46.75
"DEWA-074","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,20.75
"DEWA-074","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,36
"DEWA-074","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,59.25
"DEWA-077","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,0
"DEWA-077","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,0.75
"DEWA-077","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,0
"DEWA-084","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4,14
"DEWA-084","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,51.75
"DEWA-084","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,0
"DEWA-087","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,131.25
"DEWA-087","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2,128.5
