"Plot_Name","Unit_Code","Year","Network","cycle","SapPlotNum","SapPlotSize","SeedPlotNum","SeedPlotSize","ShrubPlotNum","ShrubPlotSize","HPlotNum","HPlotSize","excludeEvent","DBI"
"BLUE-120","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-120","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-126","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-126","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-126","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-134","BLUE",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-134","BLUE",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-134","BLUE",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-136","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-136","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-136","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-137","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"BLUE-137","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-137","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-141","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-141","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-141","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-142","BLUE",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-142","BLUE",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-142","BLUE",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"BLUE-147","BLUE",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-147","BLUE",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-147","BLUE",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-154","BLUE",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"BLUE-154","BLUE",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"BLUE-154","BLUE",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-001","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-001","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-001","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-004","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-004","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-004","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-006","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"DEWA-006","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-006","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-008","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"DEWA-008","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-008","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-019","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-019","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-019","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-022","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-022","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-022","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-025","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"DEWA-025","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-025","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-026","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"DEWA-026","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-026","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-027","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-027","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-027","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-029","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-029","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-029","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-034","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-034","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-034","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-037","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"DEWA-037","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-037","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-045","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-045","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-045","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-048","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"DEWA-048","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-048","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-054","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-054","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-054","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-055","DEWA",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA
"DEWA-055","DEWA",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-055","DEWA",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-058","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-058","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-058","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-063","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-063","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-063","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-074","DEWA",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"DEWA-074","DEWA",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-074","DEWA",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-077","DEWA",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-077","DEWA",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"DEWA-077","DEWA",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-084","DEWA",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-084","DEWA",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"DEWA-084","DEWA",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
