"Plot_Name","Network","Unit_Code","Year","cycle","excludeEvent","Tree_BA_Total","Tree_BA_Native","Tree_BA_NatCan","Tree_BA_Exotic","Tree_Dens_Total","Tree_Dens_Native","Tree_Dens_NatCan","Tree_Dens_Exotic","tree_10cm_BA_Total","tree_10cm_BA_Native","tree_10cm_BA_NatCan","tree_10cm_BA_Exotic","tree_20cm_BA_Total","tree_20cm_BA_Native","tree_20cm_BA_NatCan","tree_20cm_BA_Exotic","tree_30cm_BA_Total","tree_30cm_BA_Native","tree_30cm_BA_NatCan","tree_30cm_BA_Exotic","tree_40cm_BA_Total","tree_40cm_BA_Native","tree_40cm_BA_NatCan","tree_40cm_BA_Exotic","tree_10cm_Dens_Total","tree_10cm_Dens_Native","tree_10cm_Dens_NatCan","tree_10cm_Dens_Exotic","tree_20cm_Dens_Total","tree_20cm_Dens_Native","tree_20cm_Dens_NatCan","tree_20cm_Dens_Exotic","tree_30cm_Dens_Total","tree_30cm_Dens_Native","tree_30cm_Dens_NatCan","tree_30cm_Dens_Exotic","tree_40cm_Dens_Total","tree_40cm_Dens_Native","tree_40cm_Dens_NatCan","tree_40cm_Dens_Exotic","Sap_Dens_Total","Sap_Dens_Native","Sap_Dens_NatCan","Sap_Dens_Exotic","Sap_BA_Total","Sap_BA_Native","Sap_BA_NatCan","Sap_BA_Exotic","Seed_Dens_Total","Seed_Dens_Native","Seed_Dens_NatCan","Seed_Dens_Exotic"
"HAFE-0047","NCRN","HAFE",2013,2,0,27.3285306460745,27.1168899395274,21.8452538111422,0.211640706547089,396.118969473162,381.971863420549,282.942121052258,14.1471060526129,3.68645289518987,3.47481218864279,2.32408658232325,0.211640706547089,1.58065615925844,1.58065615925844,1.58065615925844,0,3.66692988883727,3.66692988883727,2.17044901059187,0,18.3944917027889,18.3944917027889,15.7700620589687,0,226.353696841807,212.206590789194,141.471060526129,14.1471060526129,42.4413181578388,42.4413181578388,42.4413181578388,0,42.4413181578388,42.4413181578388,28.2942121052258,0,84.8826363156775,84.8826363156775,70.7355302630646,0,0.0589553118735998,0.0589553118735998,0.0589553118735998,0,1.78280863105766,1.78280863105766,1.78280863105766,0,0.166666666666667,0.0833333333333333,0,0.0833333333333333
"HAFE-0047","NCRN","HAFE",2017,3,0,28.5197169757045,28.2060756345181,23.2097421899168,0.313641341186428,325.383439210097,311.236333157484,254.647908947033,14.1471060526129,3.18324033289843,2.869598991712,2.27513759538121,0.313641341186428,1.90773725119485,1.90773725119485,1.90773725119485,0,3.98962537789737,3.98962537789737,2.37671381683897,0,19.4391140137138,19.4391140137138,16.6501535265017,0,155.618166578742,141.471060526129,113.176848420903,14.1471060526129,42.4413181578388,42.4413181578388,42.4413181578388,0,42.4413181578388,42.4413181578388,28.2942121052258,0,84.8826363156775,84.8826363156775,70.7355302630646,0,0.0589553118735998,0.0589553118735998,0.0589553118735998,0,2.07404787171324,2.07404787171324,2.07404787171324,0,0.0833333333333333,0,0,0.0833333333333333
"HAFE-0061","NCRN","HAFE",2010,1,0,15.7064000817319,15.7064000817319,15.7064000817319,0,495.148711841452,495.148711841452,495.148711841452,0,6.24509849586545,6.24509849586545,6.24509849586545,0,3.05068194918545,3.05068194918545,3.05068194918545,0,0,0,0,0,6.41061963668102,6.41061963668102,6.41061963668102,0,381.971863420549,381.971863420549,381.971863420549,0,70.7355302630646,70.7355302630646,70.7355302630646,0,0,0,0,0,42.4413181578388,42.4413181578388,42.4413181578388,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0
"HAFE-0061","NCRN","HAFE",2014,2,0,18.3229073461627,18.3229073461627,18.3229073461627,0,537.590029999291,537.590029999291,537.590029999291,0,6.40354608365471,6.40354608365471,6.40354608365471,0,4.90692373434879,4.90692373434879,4.90692373434879,0,0,0,0,0,7.01243752815917,7.01243752815917,7.01243752815917,0,381.971863420549,381.971863420549,381.971863420549,0,113.176848420903,113.176848420903,113.176848420903,0,0,0,0,0,42.4413181578388,42.4413181578388,42.4413181578388,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0
"HAFE-0061","NCRN","HAFE",2018,3,0,20.9805826892065,20.9805826892065,20.9805826892065,0,551.737136051904,551.737136051904,551.737136051904,0,5.56334945519003,5.56334945519003,5.56334945519003,0,7.78784041090289,7.78784041090289,7.78784041090289,0,0,0,0,0,7.62939282311362,7.62939282311362,7.62939282311362,0,339.53054526271,339.53054526271,339.53054526271,0,169.765272631355,169.765272631355,169.765272631355,0,0,0,0,0,42.4413181578388,42.4413181578388,42.4413181578388,0,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0,0
"HAFE-0074","NCRN","HAFE",2014,2,0,13.8031899044739,13.4629520039086,13.4629520039086,0.340237900565341,353.677651315323,339.53054526271,339.53054526271,14.1471060526129,3.67867198686094,3.3384340862956,3.3384340862956,0.340237900565341,6.5967955523334,6.5967955523334,6.5967955523334,0,1.16642889403794,1.16642889403794,1.16642889403794,0,2.36129347124162,2.36129347124162,2.36129347124162,0,198.059484736581,183.912378683968,183.912378683968,14.1471060526129,127.323954473516,127.323954473516,127.323954473516,0,14.1471060526129,14.1471060526129,14.1471060526129,0,14.1471060526129,14.1471060526129,14.1471060526129,0,0,0,0,0,0,0,0,0,0.25,0.166666666666667,0.0833333333333333,0.0833333333333333
"HAFE-0074","NCRN","HAFE",2018,3,0,14.5991060909939,14.2309983915049,14.2309983915049,0.368107699488988,353.677651315323,339.53054526271,339.53054526271,14.1471060526129,3.13443281701692,2.76632511752793,2.76632511752793,0.368107699488988,6.75340401633583,6.75340401633583,6.75340401633583,0,2.28801146188909,2.28801146188909,2.28801146188909,0,2.42325779575207,2.42325779575207,2.42325779575207,0,183.912378683968,169.765272631355,169.765272631355,14.1471060526129,127.323954473516,127.323954473516,127.323954473516,0,28.2942121052258,28.2942121052258,28.2942121052258,0,14.1471060526129,14.1471060526129,14.1471060526129,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0
"HAFE-0074","NCRN","HAFE",2010,1,0,15.2263887733668,14.9348169176224,14.7202053188043,0.291571855744352,381.971863420549,367.824757367936,353.677651315323,14.1471060526129,3.94944759670795,3.6578757409636,3.44326414214546,0.291571855744352,6.09839300609985,6.09839300609985,6.09839300609985,0,1.05410087198019,1.05410087198019,1.05410087198019,0,4.12444729857877,4.12444729857877,4.12444729857877,0,212.206590789194,198.059484736581,183.912378683968,14.1471060526129,127.323954473516,127.323954473516,127.323954473516,0,14.1471060526129,14.1471060526129,14.1471060526129,0,28.2942121052258,28.2942121052258,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAFE-0118","NCRN","HAFE",2018,3,0,24.4180465178704,22.6059437035912,21.4140500186586,1.81210281427919,254.647908947033,212.206590789194,141.471060526129,42.4413181578388,1.10304985892223,0.943046089467177,0.338964661020606,0.160003769455052,3.90375244415801,2.25165339933387,1.66384114284781,1.65209904482414,0,0,0,0,19.4112442147902,19.4112442147902,19.4112442147902,0,99.0297423682904,84.8826363156775,28.2942121052258,14.1471060526129,70.7355302630646,42.4413181578388,28.2942121052258,28.2942121052258,0,0,0,0,84.8826363156775,84.8826363156775,84.8826363156775,0,0.365522933616319,0.365522933616319,0.01179106237472,0,5.37436623039736,5.37436623039736,0.563612781511614,0,1.66666666666667,1.66666666666667,0,0
"HAFE-0118","NCRN","HAFE",2014,2,0,26.3827966064573,24.8908428021488,23.9219075086053,1.49195380430856,268.795014999645,226.353696841807,169.765272631355,42.4413181578388,1.0833853815091,0.956202898096107,0.496139009265135,0.12718248341299,3.38412923884554,2.01935791794997,1.51048651323748,1.36477132089557,0,0,0,0,21.9152819861027,21.9152819861027,21.9152819861027,0,99.0297423682904,84.8826363156775,42.4413181578388,14.1471060526129,70.7355302630646,42.4413181578388,28.2942121052258,28.2942121052258,0,0,0,0,99.0297423682904,99.0297423682904,99.0297423682904,0,0.365522933616319,0.365522933616319,0.0235821247494399,0,5.2800377313996,5.2800377313996,0.821837047517981,0,2.58333333333333,2.5,0,0.0833333333333333
