"Plot_Name","Network","Unit_Code","cycle","excludeEvent","SapPlotNum","SeedPlotNum","Sor_sap","Hor_sap","Sor_seed","Hor_seed"
"BLUE-134","ERMN","BLUE",3,0,4,4,0.153846153846154,0.904278462654097,0.555555555555556,0.802848646960583
"BLUE-136","ERMN","BLUE",1,0,4,4,0.375,0.698343848580442,0.266666666666667,0.949130872391937
"BLUE-136","ERMN","BLUE",2,0,4,4,0.266666666666667,0.766439094502336,0.266666666666667,0.94241063832572
"BLUE-136","ERMN","BLUE",3,0,4,4,0.266666666666667,0.720099255583126,0.352941176470588,0.972306291346386
"BLUE-137","ERMN","BLUE",1,0,4,4,0.285714285714286,0.313211051776178,0.25,0.966073507400632
"BLUE-137","ERMN","BLUE",2,0,4,4,0,0,0.352941176470588,0.605845287572061
"BLUE-137","ERMN","BLUE",3,0,4,4,0,0,0.25,0.964487034949267
"BLUE-141","ERMN","BLUE",1,0,4,4,0.307692307692308,0.871630295250321,0.375,0.806999485331961
"BLUE-141","ERMN","BLUE",2,0,4,4,0.307692307692308,0.871630295250321,0.307692307692308,0.882137244630697
"BLUE-141","ERMN","BLUE",3,0,4,4,0.166666666666667,0.925696594427245,0.444444444444444,0.704514363885089
"BLUE-142","ERMN","BLUE",1,0,4,4,0.153846153846154,0.439411098527746,0.428571428571429,0.528301886792453
"BLUE-142","ERMN","BLUE",2,0,4,4,0.153846153846154,0.530161258212224,0.307692307692308,0.389301319305986
"BLUE-142","ERMN","BLUE",3,0,4,4,0.153846153846154,0.511044392022303,0.5,0.493637798945764
"BLUE-147","ERMN","BLUE",1,0,4,4,0.166666666666667,0.957647058823529,0.380952380952381,0.525376992675571
"BLUE-147","ERMN","BLUE",2,0,4,4,0.181818181818182,0.950564971751412,0.434782608695652,0.559495803392049
"BLUE-147","ERMN","BLUE",3,0,4,4,0.181818181818182,0.947784810126582,0.454545454545455,0.689180978467109
"BLUE-154","ERMN","BLUE",1,0,4,4,0.25,0.597634907566799,0.384615384615385,0.511096442715952
"BLUE-154","ERMN","BLUE",2,0,4,4,0.266666666666667,0.555769578041293,0.538461538461538,0.565660770759285
"BLUE-154","ERMN","BLUE",3,0,4,4,0.181818181818182,0.410579345088161,0.352941176470588,0.555504765387516
"DEWA-001","ERMN","DEWA",1,0,4,4,0.5,0.626825310978907,0,1
"DEWA-001","ERMN","DEWA",2,0,4,4,0,0,0.333333333333333,0.698081060398227
"DEWA-001","ERMN","DEWA",3,0,4,4,0,0,0,0
"DEWA-004","ERMN","DEWA",1,0,4,4,0.25,0.0869030539044888,0,1
"DEWA-004","ERMN","DEWA",2,0,4,4,0.25,0.0968866749688667,0.4,0.959707546318269
"DEWA-004","ERMN","DEWA",3,0,4,4,0.25,0.129411764705882,0.571428571428571,0.850717703349282
"DEWA-006","ERMN","DEWA",1,0,4,4,0.222222222222222,0.860058309037901,0.615384615384615,0.614734707671511
"DEWA-006","ERMN","DEWA",2,0,4,4,0,1,0.5,0.714660696363777
"DEWA-006","ERMN","DEWA",3,0,4,4,0,1,0.4,0.670531400966184
