"term","estimate","lower95","upper95","num_boots","park","resp"
"c3_response",3.51697174360518,2.29809737589104,5.14544011088783,1000,"GWMP","tree_20cm_BA_NatCan"
"Intercept",0.00723388689490288,NA,NA,NA,"GWMP","tree_20cm_BA_NatOth"
"Slope",0.0137403767536003,NA,NA,NA,"GWMP","tree_20cm_BA_NatOth"
"c1_response",0.0209742636485032,NA,NA,NA,"GWMP","tree_20cm_BA_NatOth"
"c2_response",0.0347146404021034,NA,NA,NA,"GWMP","tree_20cm_BA_NatOth"
"c3_response",0.0484550171557037,NA,NA,NA,"GWMP","tree_20cm_BA_NatOth"
"Intercept",4.05705755889729,2.47987887619901,6.25662555787718,1000,"GWMP","tree_20cm_BA_Total"
"Slope",-0.136777758093179,-0.413812047657864,0.123509452584667,1000,"GWMP","tree_20cm_BA_Total"
"c1_response",3.92027980080411,2.50130077786153,5.85423470472074,1000,"GWMP","tree_20cm_BA_Total"
"c2_response",3.78350204271093,2.43108550742349,5.53719399078871,1000,"GWMP","tree_20cm_BA_Total"
"c3_response",3.64672428461775,2.33335417465941,5.22175304929272,1000,"GWMP","tree_20cm_BA_Total"
"Intercept",2.82942121052259,NA,NA,NA,"GWMP","tree_20cm_Dens_Exotic"
"Slope",-0.353677651315323,NA,NA,NA,"GWMP","tree_20cm_Dens_Exotic"
"c1_response",2.47574355920727,NA,NA,NA,"GWMP","tree_20cm_Dens_Exotic"
"c2_response",2.12206590789195,NA,NA,NA,"GWMP","tree_20cm_Dens_Exotic"
"c3_response",1.76838825657662,NA,NA,NA,"GWMP","tree_20cm_Dens_Exotic"
"Intercept",83.7037108112947,47.6285903771289,141.942630727878,1000,"GWMP","tree_20cm_Dens_NatCan"
"Slope",-3.89045416446861,-12.3787177960364,2.82942121052267,1000,"GWMP","tree_20cm_Dens_NatCan"
"c1_response",79.813256646826,47.9793207146846,130.666208278447,1000,"GWMP","tree_20cm_Dens_NatCan"
"c2_response",75.9228024823574,47.3810160212088,119.784725872979,1000,"GWMP","tree_20cm_Dens_NatCan"
"c3_response",72.0323483178888,46.4408229314609,107.282220898975,1000,"GWMP","tree_20cm_Dens_NatCan"
"Intercept",0.23578510087689,NA,NA,NA,"GWMP","tree_20cm_Dens_NatOth"
"Slope",0.353677651315315,NA,NA,NA,"GWMP","tree_20cm_Dens_NatOth"
"c1_response",0.589462752192206,NA,NA,NA,"GWMP","tree_20cm_Dens_NatOth"
"c2_response",0.943140403507521,NA,NA,NA,"GWMP","tree_20cm_Dens_NatOth"
"c3_response",1.29681805482284,NA,NA,NA,"GWMP","tree_20cm_Dens_NatOth"
"Intercept",86.7689171226935,48.1001605788833,136.997038236987,1000,"GWMP","tree_20cm_Dens_Total"
"Slope",-3.89045416446856,-11.6713624934057,3.53677651315315,1000,"GWMP","tree_20cm_Dens_Total"
"c1_response",82.8784629582249,49.7477089712597,126.62249379841,1000,"GWMP","tree_20cm_Dens_Total"
"c2_response",78.9880087937564,48.5717307806373,118.605800368599,1000,"GWMP","tree_20cm_Dens_Total"
"c3_response",75.0975546292878,48.5717307806371,108.944505860165,1000,"GWMP","tree_20cm_Dens_Total"
"Intercept",0.399775996387765,0.048142601897043,1.05490018347216,975,"GWMP","tree_30cm_BA_Exotic"
"Slope",-0.0592693008074221,-0.217858713334863,0.0311018821401926,975,"GWMP","tree_30cm_BA_Exotic"
"c1_response",0.340506695580343,0.0560755916160457,0.853293311892889,975,"GWMP","tree_30cm_BA_Exotic"
"c2_response",0.281237394772921,0.0640085813350485,0.643367941954678,975,"GWMP","tree_30cm_BA_Exotic"
"c3_response",0.221968093965499,0.0687113151720368,0.46478312762502,975,"GWMP","tree_30cm_BA_Exotic"
"Intercept",4.40203002428806,2.75096642973449,6.03714753141563,1000,"GWMP","tree_30cm_BA_NatCan"
"Slope",-0.287617739602644,-0.758683213874851,0.106404275075867,1000,"GWMP","tree_30cm_BA_NatCan"
"c1_response",4.11441228468541,2.72222614169155,5.50974088308455,1000,"GWMP","tree_30cm_BA_NatCan"
"c2_response",3.82679454508277,2.66910903415562,5.02381861907918,1000,"GWMP","tree_30cm_BA_NatCan"
"c3_response",3.53917680548013,2.42027069325534,4.605645608088,1000,"GWMP","tree_30cm_BA_NatCan"
