"park","Network","metric","mean","lower95","upper95"
"SAGA","NETN","Sap_Dens_Total",0.13385359447412,0.103547120253564,0.165454407697845
"SARA","NETN","Sap_Dens_Total",0.111044815698754,0.0870127287191726,0.150014087775126
"WEFA","NETN","Sap_Dens_Total",0.0822063113232564,0.0795544948289578,0.0875099443118537
"ALPO","ERMN","Seed_Dens_Total",0.55236132205106,0.389636218991828,0.753055615824113
"BLUE","ERMN","Seed_Dens_Total",1.87649164677804,1.20515115354018,2.68469073190135
"DEWA","ERMN","Seed_Dens_Total",1.15950676213206,0.866066494219008,1.49613257777413
"FONE","ERMN","Seed_Dens_Total",2.33691328560064,1.55327665075577,3.1434715592681
"FRHI","ERMN","Seed_Dens_Total",1.26988862370724,0.648344272076373,2.06647772474145
"GARI","ERMN","Seed_Dens_Total",0.942815471455089,0.687542618479373,1.24840263296305
"JOFL","ERMN","Seed_Dens_Total",1.51485017236807,0.682842747281888,2.80305290373906
"NERI","ERMN","Seed_Dens_Total",1.26975213315239,0.974908161355235,1.64373625345126
"APCO","MIDN","Seed_Dens_Total",1.25892857142857,0.773735119047619,1.85119047619048
"BOWA","MIDN","Seed_Dens_Total",3.28125,1.85390625,4.91692708333334
"COLO","NCBN","Seed_Dens_Total",1.36524822695035,0.818852504432624,2.16666666666667
"FRSP","MIDN","Seed_Dens_Total",0.957532051282052,0.709134615384616,1.25659054487179
"GETT","MIDN","Seed_Dens_Total",2.53787878787879,1.86609848484848,3.28087121212121
"GEWA","NCBN","Seed_Dens_Total",0.458333333333334,0.25,0.666666666666667
"HOFU","MIDN","Seed_Dens_Total",1.578125,0.656250000000001,2.875
"PETE","MIDN","Seed_Dens_Total",0.806089743589744,0.416666666666667,1.35592948717949
"RICH","MIDN","Seed_Dens_Total",0.5625,0.3306640625,0.838606770833333
"SAHI","NCBN","Seed_Dens_Total",0.458333333333333,0.0833333333333335,0.833333333333333
"THST","NCBN","Seed_Dens_Total",0.260416666666667,0.135416666666667,0.416666666666667
"VAFO","MIDN","Seed_Dens_Total",0.589285714285715,0.354092261904762,0.86904761904762
