"term","estimate","lower95","upper95","num_boots","park","resp"
"Slope",NA,NA,NA,NA,"ALPO","Seed_Dens_ASITRI"
"c1_response",NA,NA,NA,NA,"ALPO","Seed_Dens_ASITRI"
"c2_response",NA,NA,NA,NA,"ALPO","Seed_Dens_ASITRI"
"c3_response",NA,NA,NA,NA,"ALPO","Seed_Dens_ASITRI"
"Intercept",1.33117561442024,0.759662013822082,2.03955339318902,1000,"BLUE","Tree_BA_FRAX"
"Slope",-0.210098889511751,-0.426153607798013,-0.0369209469156974,1000,"BLUE","Tree_BA_FRAX"
"c1_response",1.12107672490849,0.663197801033113,1.68261457786821,1000,"BLUE","Tree_BA_FRAX"
"c2_response",0.910977835396735,0.518995787181903,1.39512999656985,1000,"BLUE","Tree_BA_FRAX"
"c3_response",0.700878945884984,0.323343525711221,1.18208802899792,1000,"BLUE","Tree_BA_FRAX"
"Intercept",0.389062592275437,0.135260597003148,0.739358423581353,1000,"BLUE","Tree_BA_FAGGRA"
"Slope",0.0378789447729671,0.013422586783876,0.0718952909656628,1000,"BLUE","Tree_BA_FAGGRA"
"c1_response",0.426941537048404,0.156665921045651,0.807563106395647,1000,"BLUE","Tree_BA_FAGGRA"
"c2_response",0.464820481821371,0.176715038584767,0.875646150296775,1000,"BLUE","Tree_BA_FAGGRA"
"c3_response",0.502699426594338,0.196323378795767,0.943711398986327,1000,"BLUE","Tree_BA_FAGGRA"
"Intercept",NA,NA,NA,NA,"BLUE","Tree_BA_TSUCAN"
"Slope",NA,NA,NA,NA,"BLUE","Tree_BA_TSUCAN"
"c1_response",NA,NA,NA,NA,"BLUE","Tree_BA_TSUCAN"
"c2_response",NA,NA,NA,NA,"BLUE","Tree_BA_TSUCAN"
"c3_response",NA,NA,NA,NA,"BLUE","Tree_BA_TSUCAN"
"Intercept",-0.0015592447709674,NA,NA,NA,"BLUE","Tree_BA_ASITRI"
"Slope",0.00188335445453473,NA,NA,NA,"BLUE","Tree_BA_ASITRI"
"c1_response",0.000324109683567334,NA,NA,NA,"BLUE","Tree_BA_ASITRI"
"c2_response",0.00220746413810207,NA,NA,NA,"BLUE","Tree_BA_ASITRI"
"c3_response",0.0040908185926368,NA,NA,NA,"BLUE","Tree_BA_ASITRI"
"Intercept",24.0190856427839,15.5882718885803,32.9023972965797,1000,"BLUE","Tree_Dens_FRAX"
"Slope",-4.14810025799455,-6.30568697232541,-2.24251140702693,1000,"BLUE","Tree_Dens_FRAX"
"c1_response",19.8709853847893,12.7987138832344,27.1784948336942,1000,"BLUE","Tree_Dens_FRAX"
"c2_response",15.7228851267948,9.95154570718782,22.3678633641448,1000,"BLUE","Tree_Dens_FRAX"
