"Plot_Name","Network","Unit_Code","Year","cycle","lat_rank","excludeEvent","Tree_BA_FRAX","Tree_BA_FAGGRA","Tree_BA_TSUCAN","Tree_BA_ASITRI","Tree_Dens_FRAX","Tree_Dens_FAGGRA","Tree_Dens_TSUCAN","Tree_Dens_ASITRI","Sap_BA_FRAX","Sap_BA_FAGGRA","Sap_BA_TSUCAN","Sap_BA_ASITRI","Sap_Dens_FRAX","Sap_Dens_FAGGRA","Sap_Dens_TSUCAN","Sap_Dens_ASITRI","Seed_Dens_FRAX","Seed_Dens_FAGGRA","Seed_Dens_TSUCAN","Seed_Dens_ASITRI"
"ALPO-059","ERMN","ALPO",2010,1,29,0,4.08714289082896,0,0,0,42.4413181578388,0,0,0,0,0,0,0,0,0,0,0,0.0198886237072395,0,0,0
"ALPO-059","ERMN","ALPO",2014,2,29,0,4.31523231308889,0,0,0,42.4413181578388,0,0,0,0,0,0,0,0,0,0,0,0.198886237072395,0,0,0
"ALPO-059","ERMN","ALPO",2018,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159108989657916,0,0,0
"ALPO-061","ERMN","ALPO",2010,1,29,0,2.63260615616397,0,0,0,42.4413181578388,0,0,0,0.0156205250596659,0,0,0,0.0198886237072395,0,0,0,0.696101829753381,0,0,0
"ALPO-061","ERMN","ALPO",2014,2,29,0,2.98168475023744,0,0,0,56.5884242104517,0,0,0,0,0,0,0,0,0,0,0,1.43198090692124,0,0,0
"ALPO-061","ERMN","ALPO",2018,3,29,0,0.211600494812845,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.755767700875099,0,0,0
"ALPO-062","ERMN","ALPO",2008,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139220365950676,0,0,0
"ALPO-062","ERMN","ALPO",2012,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795544948289578,0,0,0
"ALPO-062","ERMN","ALPO",2016,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596658711217184,0,0,0
"ALPO-065","ERMN","ALPO",2009,1,29,0,4.88127808119147,0,0,0,127.323954473516,0,0,0,0,0,0,0,0,0,0,0,0.37788385043755,0,0,0
"ALPO-065","ERMN","ALPO",2013,2,29,0,4.73071106243444,0,0,0,99.0297423682904,0,0,0,0,0,0,0,0,0,0,0,0.576770087509944,0,0,0
"ALPO-065","ERMN","ALPO",2017,3,29,0,0.76854624163567,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.696101829753381,0,0,0
"ALPO-069","ERMN","ALPO",2008,1,29,0,0,2.95840691802609,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALPO-069","ERMN","ALPO",2012,2,29,0,0,3.10935171544431,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.0198886237072395,0,0
"ALPO-069","ERMN","ALPO",2016,3,29,0,0,3.31240774583208,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.0198886237072395,0,0
"ALPO-072","ERMN","ALPO",2008,1,29,0,0.356011943619953,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.35799522673031,0,0,0
"ALPO-072","ERMN","ALPO",2012,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417661097852029,0.0397772474144789,0,0
"ALPO-072","ERMN","ALPO",2016,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457438345266508,0.0596658711217184,0,0
"ALPO-077","ERMN","ALPO",2011,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218774860779634,0,0,0
"ALPO-077","ERMN","ALPO",2015,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198886237072395,0,0,0
"ALPO-077","ERMN","ALPO",2019,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258552108194113,0,0,0
"BLUE-001","ERMN","BLUE",2011,1,6,0,2.08802710492646,0,0,0,56.5884242104517,0,0,0,0,0,0,0,0,0,0,0,1.03420843277645,0,0,0
"BLUE-001","ERMN","BLUE",2015,2,6,0,2.11170493807318,0,0,0,42.4413181578388,0,0,0,0,0,0,0,0,0,0,0,1.5115354017502,0,0,0
"BLUE-001","ERMN","BLUE",2019,3,6,0,0.518401212244702,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,3.1225139220366,0.0198886237072395,0,0
"BLUE-003","ERMN","BLUE",2008,1,6,0,0.881746506346512,2.00694913755357,0,0,56.5884242104517,14.1471060526129,0,0,0,0.140584725536993,0,0,0,0.0198886237072395,0,0,0.119331742243437,0,0,0
"BLUE-003","ERMN","BLUE",2012,2,6,0,0.792390741838798,2.04490478186572,0,0,42.4413181578388,14.1471060526129,0,0,0,0.0976282816229117,0,0,0,0.0198886237072395,0,0,0.0795544948289578,0,0,0
"BLUE-003","ERMN","BLUE",2016,3,6,0,0.85111310137912,2.11218271696821,0,0,42.4413181578388,14.1471060526129,0,0,0,0.140584725536993,0,0,0,0.0198886237072395,0,0,0.198886237072395,0,0,0
"BLUE-004","ERMN","BLUE",2011,1,6,0,2.04339366722098,0,0,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0,0.437549721559268,0,0,0
"BLUE-004","ERMN","BLUE",2015,2,6,0,0.162678158189187,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,1.07398568019093,0,0,0
"BLUE-004","ERMN","BLUE",2019,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715990453460621,0,0,0.139220365950676
"BLUE-011","ERMN","BLUE",2010,1,6,0,1.21000282950635,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,1.09387430389817,0,0,0
"BLUE-011","ERMN","BLUE",2014,2,6,0,1.2693807461352,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,2.38663484486873,0.0198886237072395,0,0
"BLUE-011","ERMN","BLUE",2018,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07159904534606,0.0198886237072395,0,0
"BLUE-013","ERMN","BLUE",2011,1,6,0,5.30685685415522,0,0,0,56.5884242104517,0,0,0,0,0,0,0,0,0,0,0,0.338106603023071,0,0,0
"BLUE-013","ERMN","BLUE",2015,2,6,0,5.66497991382298,0,0,0,56.5884242104517,0,0,0,0,0,0,0,0,0,0,0,0.696101829753381,0,0,0
"BLUE-013","ERMN","BLUE",2019,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46618933969769,0,0,0
"BLUE-016","ERMN","BLUE",2011,1,6,0,0,0,0,0,0,0,0,0,1.12858293556086,0,0,0,0.0198886237072395,0,0,0,0.775656324582339,0,0,0
"BLUE-016","ERMN","BLUE",2015,2,6,0,0,0,0,0,0,0,0,0,1.26526252983294,0,0,0,0.0198886237072395,0,0,0,1.21320604614161,0,0,0.0198886237072395
"BLUE-016","ERMN","BLUE",2019,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59108989657916,0.0198886237072395,0,0.0198886237072395
"BLUE-019","ERMN","BLUE",2011,1,6,0,3.94880923401212,0,0,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0,3.18217979315831,0.0198886237072395,0,0
