"Unit_Code","lat_rank","sap_ba_tot","sap_dens_tot","seed_dens_tot","sap_ba_pct_FRAX","sap_ba_pct_FAGGRA","sap_ba_pct_ASITRI","sap_dens_pct_FRAX","sap_dens_pct_FAGGRA","sap_dens_pct_ASITRI","seed_dens_pct_FRAX","seed_dens_pct_FAGGRA","seed_dens_pct_ASITRI","sap_ba_check","sap_dens_check","seed_dens_check"
"GETT",25,47.7950902016272,5.83657587548638,83.75,0.196606188585197,0,0,0.244444444444445,0,0,0.389054726368159,0,0,0.196606188585197,0.244444444444445,0.389054726368159
"GEWA",8,11.2138450654404,0.577762056361278,3.66666666666667,0,0,0.0524068126238242,0,0,0.102040816326531,0,0,0.181818181818182,0.0524068126238242,0.102040816326531,0.181818181818182
"GWMP",15,25.1196792831034,1.85119679283103,15.9166666666667,0.121667292527225,0.298159969958693,0.127018400300413,0.0891719745222932,0.165605095541401,0.40764331210191,0.146596858638743,0,0.534031413612566,0.546845662786331,0.662420382165605,0.680628272251309
"HAFE",18,26.2351137837519,1.88656997995519,13.3333333333333,0.0220224719101124,0.00714606741573032,0.342337078651686,0.00625000000000002,0.00625000000000002,0.675,0.025,0,0.80625,0.371505617977529,0.6875,0.83125
"HOFU",27,6.68889164013678,0.412687183115199,25.25,0,0.00233974145971451,0,0,0.0285714285714287,0,0.108910891089109,0.0165016501650165,0,0.00233974145971451,0.0285714285714287,0.125412541254125
"JOFL",28,14.8941706443914,0.795544948289579,18.1782020684169,0.0508652333508129,0.00996329313057158,0,0.15,0.075,0,0.679431072210065,0.0196936542669584,0,0.0608285264813845,0.225,0.699124726477024
"MABI",38,20.0760726597719,3.23521612304429,23.9459029435163,0.0059755475295703,0.416202519005211,0,0.00819672131147539,0.254098360655738,0,0.252491694352159,0.0586932447397564,0,0.422178066534781,0.262295081967213,0.311184939091916
"MANA",13,19.770074283693,0.966867114727038,13.5,0.096081588835212,0,0.019621876304646,0.097560975609756,0,0.0365853658536585,0.506172839506173,0,0.0493827160493827,0.115703465139858,0.134146341463415,0.555555555555555
"MIMA",35,18.8974595597985,2.04189870060992,6.86820472023336,0.0395991879018252,0,0,0.0259740259740259,0,0,0.16988416988417,0.00772200772200771,0,0.0395991879018252,0.0259740259740259,0.177606177606178
"MONO",20,17.242070510553,1.6507487324608,6.66666666666667,0.0544347945018122,0.0950557341174861,0.236545168570061,0.0142857142857142,0.0642857142857143,0.164285714285714,0.0125,0.0125,0.2375,0.386035697189359,0.242857142857142,0.2625
"MORR",30,8.14951206576505,2.78440731901352,15.6457173163617,0,0.65087249986252,0,0,0.257142857142857,0,0.416949152542373,0.247457627118644,0,0.65087249986252,0.257142857142857,0.664406779661017
"NACE",14,81.9419879731164,4.86970876075934,28.5,0.0281459097776818,0.0720339592776459,0.127951651197928,0.0484261501210655,0.0363196125907991,0.278450363196126,0.0730994152046784,0.0175438596491228,0.0818713450292398,0.228131520253256,0.363196125907991,0.172514619883041
"NERI",7,160.587588902148,9.32776451869531,129.514717581543,0,0.0529640923880531,0.00581194585892778,0,0.0724946695095949,0.0255863539445629,0.129760442260442,0.0107493857493858,0.0477579852579853,0.0587760382469809,0.0980810234541578,0.188267813267813
"PETE",2,125.237838698267,5.9073222497347,41.9166666666667,0.00266200725249468,0.00736637774393484,0,0.00199600798403194,0.00399201596806387,0,0,0.00397614314115308,0,0.0100283849964295,0.00598802395209581,0.00397614314115308
"PRWI",12,315.017097040443,17.5686829383328,67.25,0.000280724343666485,0.357523038111137,0.000576420652328515,0.000671140939597317,0.36241610738255,0.0046979865771812,0,0.0966542750929368,0.0718711276332095,0.358380183107132,0.367785234899329,0.168525402726146
"RICH",5,72.996653696498,4.39806626577055,18,0.000457982626026148,0.0596288436304556,0,0.00268096514745309,0.120643431635389,0,0.0416666666666667,0.0185185185185185,0,0.0600868262564817,0.123324396782842,0.0601851851851852
"ROCR",17,25.2293361631883,1.6507487324608,11.3333333333333,0.00649623779034446,0.327662756461186,0.000934710473430854,0.0214285714285714,0.435714285714286,0.00714285714285716,0.073529411764706,0.0367647058823529,0.0514705882352941,0.335093704724962,0.464285714285714,0.161764705882353
"ROVA",34,38.2816441262265,4.00424290639088,24.9535932113498,0,0.0622017527283166,0,0,0.052980132450331,0,0.0998937300743889,0.0425079702444208,0,0.0622017527283166,0.052980132450331,0.14240170031881
"SAGA",37,33.3764041368337,2.81092548395651,4.58764253513657,0.0018033977099757,0.468877366254359,0,0.00943396226415092,0.452830188679245,0,0.023121387283237,0.416184971098266,0,0.470680763964335,0.462264150943396,0.439306358381503
"SAHI",31,2.98656997995519,0.165074873246079,1.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"SARA",36,33.7883558737735,3.55343410236012,33.8636966321931,0.0723042471390343,0.00992411543018693,0,0.0597014925373134,0.0298507462686568,0,0.434612372748629,0.00469851213782302,0,0.0822283625692212,0.0895522388059701,0.439310884886452
"THST",11,11.6804928664073,0.530597806862398,2.08333333333333,0,0.170094342689133,0.0504162735637164,0,0.111111111111111,0.177777777777778,0.04,0,0.36,0.220510616252849,0.288888888888889,0.4
"VAFO",26,20.0227921235703,0.919702865228157,16.5,0.110021123198242,0.0111047839009076,0,0.0769230769230771,0.0128205128205129,0,0.111111111111111,0.0101010101010101,0,0.121125907099149,0.0897435897435899,0.121212121212121
"WEFA",33,5.29659241580483,0.822063113232564,4.85282418456643,0,0,0,0,0,0,0.398907103825137,0.0273224043715847,0,0,0,0.426229508196721
"WOTR",16,7.02157764414574,0.318358684117439,13.5,0,0,0,0,0,0,0.185185185185185,0.0123456790123457,0,0,0,0.197530864197531
