"Plot_Name","Park","Network","Year","hummod300m","DBI","x","y","PROVINCE","Physiographic_Class","cancov","tmax","precip","stage_fac","QMD","mDBH","Tree_BA_Total","Tree_Dens_Total","Sap_Dens_NatCan","Seed_Dens_NatCan","Sap_Dens_NatOth","Seed_Dens_NatOth","Sap_Dens_Exotic","Seed_Dens_Exotic","stock_final","Sap_Dens_Total","Seed_Dens_Total","Sor_seed","Sor_sap","avg.cover","dm_park"
"NERI-211","NERI","ERMN",2018,0.0000000137494184926368,4,1307340.22467803,1748928.08483625,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry",85,-0.0478567779064178,0.0977732911705971,"Mature",25.1615535644717,23.1755555555556,31.6552629124904,636.619772367581,0,0.278440731901352,0,1.17342879872713,0,0,4.5,0,1.45186953062848,0.533333333333333,0,0.925,0
"NERI-215","NERI","ERMN",2018,0.199999988079071,4,1313223.21666096,1749839.66653709,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry",89,-0.0469671040773392,0.107146605849266,"Mature",26.9526694204654,24.6416666666667,29.0579235054619,509.295817894065,0,0.397772474144789,0,0.715990453460621,0,0,5.75,0,1.11376292760541,0.48,0,0,0
"NERI-216","NERI","ERMN",2018,0.000000000000000085687513922915,2,1299775.3410307,1746954.85771903,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",89,-0.0465265475213528,0.0957482010126114,"Late Succ.",36.5821835576576,31.5461538461538,38.6608237389452,367.824757367936,0.0596658711217184,0.178997613365155,0,0.536992840095466,0,0,3,0.0596658711217184,0.715990453460621,0.421052631578947,0.142857142857143,0,0
"NERI-218","NERI","ERMN",2019,0,2,1301232.64001473,1747183.75060036,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",90,-0.0465265475213528,0.0957482010126114,"Mosaic",21.0302496418849,17.898,24.5706907901622,707.355302630646,0.218774860779634,0.556881463802705,0,0.119331742243437,0,0,60.5,0.218774860779634,0.676213206046142,0.5,0.235294117647059,0,0
"NERI-223","NERI","ERMN",2017,0.000000000000000200193523931145,3,1304898.67447731,1747767.2343916,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",90,-0.0472000725567341,0.0984821319580078,"Late Succ.",41.7701101897416,33.2631578947368,36.83353057706,268.795014999645,0.0397772474144789,0.596658711217184,0.0795544948289581,0.696101829753376,0,0,43,0.119331742243437,1.29276054097056,0.444444444444444,0.166666666666667,1.233333333,0
"NERI-225","NERI","ERMN",2017,0,3,1306359.70787339,1747991.57085655,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",89,-0.0472000725567341,0.0984821319580078,"Mosaic",29.265935829903,25.6586956521739,43.7765134794029,650.766878420194,0,0.218774860779634,0,0.139220365950676,0,0,2.75,0,0.35799522673031,0.526315789473684,0,0,0
"NERI-230","NERI","ERMN",2017,0.0699999928474426,3,1311508.52577651,1748813.98103657,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",84,-0.0435852520167828,0.100424580276012,"Mature",28.8823587187974,26.9967741935484,28.7333005241317,438.560287631001,0.0198886237072395,0.855210819411297,0,5.36992840095465,0,0.0795544948289578,31,0.0198886237072395,6.30469371519491,0.347826086956522,0,0.9,0
"NERI-232","NERI","ERMN",2019,0,2,1298061.01114312,1745895.35730846,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",83,-0.045910406857729,0.0759902745485306,"Mature",30.0052804876551,27.1914285714286,35.0124040962618,495.148711841452,0,0.0397772474144789,0,0.318217979315831,0,0,0.5,0,0.35799522673031,0.2,0,0.291666667,0
"NERI-233","NERI","ERMN",2017,0,3,1300963.91304787,1746401.4170368,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",86,-0.0465265475213528,0.0957482010126114,"Late Succ.",29.9592843363909,25.5153846153846,38.8943020626955,551.737136051904,0.0596658711217184,0.0795544948289578,0.0596658711217186,1.03420843277645,0,0.198886237072395,13.5,0.119331742243437,1.3126491646778,0.285714285714286,0.181818181818182,0.141666667,0
"NERI-234","NERI","ERMN",2017,0,2,1301709.00143372,1746491.36967855,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",95,-0.0465265475213528,0.0957482010126114,"Mature",24.3311072041076,22.7388888888889,23.6801664855117,509.295817894065,0,0.0596658711217184,0,0.0994431185361976,0,0,0.75,0,0.159108989657916,0.222222222222222,0,8.558333333,0
