"Plot_Name","Unit_Code","Year","Network","cycle","DBI","lat_rank","SapPlotNum","SapPlotSize","SeedPlotNum","SeedPlotSize","ShrubPlotNum","ShrubPlotSize","HPlotNum","HPlotSize","excludeEvent","Tree_BA_Total","Tree_BA_Native","Tree_BA_NatCan","Tree_BA_Exotic","Tree_Dens_Total","Tree_Dens_Native","Tree_Dens_NatCan","Tree_Dens_Exotic","tree_10cm_BA_Total","tree_10cm_BA_Native","tree_10cm_BA_NatCan","tree_10cm_BA_Exotic","tree_20cm_BA_Total","tree_20cm_BA_Native","tree_20cm_BA_NatCan","tree_20cm_BA_Exotic","tree_30cm_BA_Total","tree_30cm_BA_Native","tree_30cm_BA_NatCan","tree_30cm_BA_Exotic","tree_40cm_BA_Total","tree_40cm_BA_Native","tree_40cm_BA_NatCan","tree_40cm_BA_Exotic","tree_10cm_Dens_Total","tree_10cm_Dens_Native","tree_10cm_Dens_NatCan","tree_10cm_Dens_Exotic","tree_20cm_Dens_Total","tree_20cm_Dens_Native","tree_20cm_Dens_NatCan","tree_20cm_Dens_Exotic","tree_30cm_Dens_Total","tree_30cm_Dens_Native","tree_30cm_Dens_NatCan","tree_30cm_Dens_Exotic","tree_40cm_Dens_Total","tree_40cm_Dens_Native","tree_40cm_Dens_NatCan","tree_40cm_Dens_Exotic","Sap_Dens_Total","Sap_Dens_Native","Sap_Dens_NatCan","Sap_Dens_Exotic","Sap_BA_Total","Sap_BA_Native","Sap_BA_NatCan","Sap_BA_Exotic","Seed_Dens_Total","Seed_Dens_Native","Seed_Dens_NatCan","Seed_Dens_Exotic","Tree_BA_NatOth","Tree_Dens_NatOth","tree_10cm_BA_NatOth","tree_10cm_Dens_NatOth","tree_20cm_BA_NatOth","tree_20cm_Dens_NatOth","tree_30cm_BA_NatOth","tree_30cm_Dens_NatOth","tree_40cm_BA_NatOth","tree_40cm_Dens_NatOth","Sap_BA_NatOth","Sap_Dens_NatOth","Seed_Dens_NatOth","stock_final","Sor_sap","Hor_sap","Sor_seed","Hor_seed"
"PRWI-0722","PRWI",2010,"NCRN",1,NA,12,3,28.27,12,1,3,28.27,12,1,0,27.37875,27.37875,27.37875,0,396.119,396.119,396.119,0,2.424107,2.424107,2.424107,0,4.54108,4.54108,4.54108,0,3.974347,3.974347,3.974347,0,16.43922,16.43922,16.43922,0,155.6182,155.6182,155.6182,0,99.02974,99.02974,99.02974,0,42.44132,42.44132,42.44132,0,99.02974,99.02974,99.02974,0,0.07074637,0.07074637,0.07074637,0,1.252211,1.252211,1.252211,0,0.1666667,0.1666667,0.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.91148,0.4444444,0.3,0.4444444,0.55
"PRWI-0728","PRWI",2018,"NCRN",3,5,12,3,28.27,12,1,3,28.27,12,1,0,30.30437,30.30437,30.30437,0,509.2958,509.2958,509.2958,0,4.558056,4.558056,4.558056,0,4.362402,4.362402,4.362402,0,9.297761,9.297761,9.297761,0,12.08616,12.08616,12.08616,0,268.795,268.795,268.795,0,84.88264,84.88264,84.88264,0,99.02974,99.02974,99.02974,0,70.73553,70.73553,70.73553,0,0.05895531,0.05895531,0.05895531,0,2.101167,2.101167,2.101167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4615385,0.6531124,0,0
"PRWI-0728","PRWI",2014,"NCRN",2,5,12,3,28.27,12,1,3,28.27,12,1,0,32.22414,32.22414,32.22414,0,565.8842,565.8842,565.8842,0,4.149063,4.149063,4.149063,0,5.78744,5.78744,5.78744,0,10.95891,10.95891,10.95891,0,11.32872,11.32872,11.32872,0,254.6479,254.6479,254.6479,0,127.324,127.324,127.324,0,127.324,127.324,127.324,0,56.58842,56.58842,56.58842,0,0.07074637,0.07074637,0.05895531,0,2.354675,2.354675,1.805212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5494635,0.01179106,0,0,0.4285714,0.7523671,0,0
"PRWI-0728","PRWI",2010,"NCRN",1,NA,12,3,28.27,12,1,3,28.27,12,1,0,31.64326,31.64326,31.64326,0,565.8842,565.8842,565.8842,0,3.60058,3.60058,3.60058,0,7.984768,7.984768,7.984768,0,12.90428,12.90428,12.90428,0,7.153626,7.153626,7.153626,0,212.2066,212.2066,212.2066,0,183.9124,183.9124,183.9124,0,141.4711,141.4711,141.4711,0,28.29421,28.29421,28.29421,0,0.1061196,0.1061196,0.0943285,0,3.736588,3.736588,3.201273,0,0.08333333,0.08333333,0,0,0,0,0,0,0,0,0,0,0,0,0.5353142,0.01179106,0.08333333,7.408543,0.5333333,0.8543284,0,1
"PRWI-0729","PRWI",2013,"NCRN",2,3,12,3,28.27,12,1,3,28.27,12,1,0,15.07982,15.07982,15.07982,0,396.119,396.119,396.119,0,4.366363,4.366363,4.366363,0,2.663759,2.663759,2.663759,0,2.482817,2.482817,2.482817,0,5.566886,5.566886,5.566886,0,282.9421,282.9421,282.9421,0,56.58842,56.58842,56.58842,0,28.29421,28.29421,28.29421,0,28.29421,28.29421,28.29421,0,0.1650749,0.1650749,0.1532838,0,2.175451,2.175451,1.339465,0,2,2,1.583333,0,0,0,0,0,0,0,0,0,0,0,0.8359863,0.01179106,0.4166667,205.9542,0.5454545,0.554717,0.2666667,0.7999267
"PRWI-0729","PRWI",2009,"NCRN",1,NA,12,3,28.27,12,1,3,28.27,12,1,0,17.00864,17.00864,17.00864,0,381.9719,381.9719,381.9719,0,4.055692,4.055692,4.055692,0,2.914021,2.914021,2.914021,0,1.292055,1.292055,1.292055,0,8.746873,8.746873,8.746873,0,268.795,268.795,268.795,0,56.58842,56.58842,56.58842,0,14.14711,14.14711,14.14711,0,42.44132,42.44132,42.44132,0,0.07074637,0.07074637,0.05895531,0,1.650749,1.650749,1.072987,0,2,2,1.833333,0,0,0,0,0,0,0,0,0,0,0,0.5777621,0.01179106,0.1666667,129.9307,0.3636364,0.3861386,0.4285714,0.7610454
"PRWI-0729","PRWI",2017,"NCRN",3,3,12,3,28.27,12,1,3,28.27,12,1,0,17.22396,17.22396,17.08702,0,438.5603,438.5603,424.4132,0,4.45549,4.45549,4.318546,0,3.019841,3.019841,3.019841,0,4.172547,4.172547,4.172547,0,5.576082,5.576082,5.576082,0,297.0892,297.0892,282.9421,0,70.73553,70.73553,70.73553,0,42.44132,42.44132,42.44132,0,28.29421,28.29421,28.29421,0,0.04716425,0.04716425,0.04716425,0,0.9385686,0.9385686,0.9385686,0,1.416667,1.416667,1.25,0,0.136944,14.14711,0.136944,14.14711,0,0,0,0,0,0,0,0,0.1666667,32.54128,0.4,0.2392638,0.1666667,0.83305
"PRWI-0738","PRWI",2011,"NCRN",1,NA,12,3,28.27,12,1,3,28.27,12,1,0,20.54216,20.54216,20.20928,0,551.7371,551.7371,523.4429,0,6.14904,6.14904,5.816158,0,4.128126,4.128126,4.128126,0,2.904967,2.904967,2.904967,0,7.360032,7.360032,7.360032,0,381.9719,381.9719,353.6777,0,99.02974,99.02974,99.02974,0,28.29421,28.29421,28.29421,0,42.44132,42.44132,42.44132,0,0.2004481,0.2004481,0.2004481,0,3.408796,3.408796,3.408796,0,0.5,0.5,0.08333333,0,0.3328814,28.29421,0.3328814,28.29421,0,0,0,0,0,0,0,0,0.4166667,46.54565,0.4,0.535246,0.4,0.8721461
"PRWI-0738","PRWI",2019,"NCRN",3,5,12,3,28.27,12,1,3,28.27,12,1,0,25.88298,25.88298,25.64941,0,650.7669,650.7669,636.6198,0,7.47137,7.47137,7.237801,0,4.965493,4.965493,4.965493,0,2.589345,2.589345,2.589345,0,10.85677,10.85677,10.85677,0,452.7074,452.7074,438.5603,0,113.1768,113.1768,113.1768,0,28.29421,28.29421,28.29421,0,56.58842,56.58842,56.58842,0,0.1650749,0.1650749,0.1650749,0,2.805094,2.805094,2.805094,0,0.5,0.5,0.1666667,0,0.2335687,14.14711,0.2335687,14.14711,0,0,0,0,0,0,0,0,0.3333333,74.89815,0.25,0.4093656,0.4444444,0.6587715
"PRWI-0738","PRWI",2015,"NCRN",2,5,12,3,28.27,12,1,3,28.27,12,1,0,23.19588,23.19588,22.72577,0,594.1785,594.1785,551.7371,0,7.142308,7.142308,6.6722,0,4.55367,4.55367,4.55367,0,1.504686,1.504686,1.504686,0,9.995213,9.995213,9.995213,0,424.4132,424.4132,381.9719,0,99.02974,99.02974,99.02974,0,14.14711,14.14711,14.14711,0,56.58842,56.58842,56.58842,0,0.188657,0.188657,0.188657,0,3.608065,3.608065,3.608065,0,0.8333333,0.8333333,0.1666667,0,0.4701083,42.44132,0.4701083,42.44132,0,0,0,0,0,0,0,0,0.6666667,56.04859,0.4,0.522797,0.4,0.8392365
