"park","Network","metric","mean","lower95","upper95"
"CHOH","NCRN","Sap_Dens_NatCan",0.0234249105844437,0.0154030578155092,0.0333333333333333
"GWMP","NCRN","Sap_Dens_NatCan",0.0359627402428959,0.021223912274496,0.0518954132767363
"HAFE","NCRN","Sap_Dens_NatCan",0.0247612309869119,0.0141492748496639,0.0371418464803679
"MANA","NCRN","Sap_Dens_NatCan",0.0374539628373458,0.0083231028527435,0.0818438447186445
"MONO","NCRN","Sap_Dens_NatCan",0.0903981448728533,0.01179106237472,0.235840899265024
"NACE","NCRN","Sap_Dens_NatCan",0.0464273081004598,0.0299566678457729,0.0682960440985733
"PRWI","NCRN","Sap_Dens_NatCan",0.0940032283115606,0.0803377936076179,0.110431430906407
"ROCR","NCRN","Sap_Dens_NatCan",0.0664022986365808,0.0384605837196458,0.0980519923792502
"WOTR","NCRN","Sap_Dens_NatCan",0.0393035412490665,0.0275124788743466,0.0510946036237865
"ACAD","NETN","Sap_Dens_NatCan",0.173573443263181,0.142233793785106,0.212446662327331
"MABI","NETN","Sap_Dens_NatCan",0.0563511005038451,0.0276230884822771,0.0883938831432864
"MIMA","NETN","Sap_Dens_NatCan",0.039777247414479,0.0132259347653143,0.0715990453460622
"MORR","NETN","Sap_Dens_NatCan",0.0265181649429859,0.00284123195817706,0.0681895669962496
"ROVA","NETN","Sap_Dens_NatCan",0.037788385043755,0.0251922566958367,0.0517104216388226
"SAGA","NETN","Sap_Dens_NatCan",0.0871311133840967,0.0517735601267821,0.13009685444053
"SARA","NETN","Sap_Dens_NatCan",0.0314903208697958,0.00580084858127817,0.0729456709095731
"WEFA","NETN","Sap_Dens_NatCan",0.0212145319543887,0.00795544948289577,0.0344736144258817
"ALPO","ERMN","Seed_Dens_NatCan",0.257648079843784,0.148238048745209,0.381567765965141
"BLUE","ERMN","Seed_Dens_NatCan",0.506165473349244,0.313220962609387,0.719968178202068
"DEWA","ERMN","Seed_Dens_NatCan",0.901949085123309,0.652856823570185,1.22607177420583
"FONE","ERMN","Seed_Dens_NatCan",1.09785202863962,0.651302704852824,1.65779136833731
