"term","estimate","lower95","upper95","num_boots","Macrogroup","resp"
"c1_response",27.6751402758372,21.3901080915438,34.0412844193952,985,"Appalachian-Interior-Northeastern Mesic Forest","stock_final"
"c2_response",27.2051847222176,21.5418244157618,32.6500402912218,985,"Appalachian-Interior-Northeastern Mesic Forest","stock_final"
"c3_response",26.735229168598,20.9305240074199,32.9618525475539,985,"Appalachian-Interior-Northeastern Mesic Forest","stock_final"
"Intercept",0.0251602757297302,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Exotic"
"Slope",-0.00212404928348725,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Exotic"
"c1_response",0.023036226446243,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Exotic"
"c2_response",0.0209121771627557,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Exotic"
"c3_response",0.0187881278792685,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Exotic"
"Intercept",2.95269425404632,2.59733855825406,3.28224115071505,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatCan"
"Slope",-0.177039696015324,-0.243291626540193,-0.109708066095552,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatCan"
"c1_response",2.77565455803099,2.44633184406716,3.05216409448654,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatCan"
"c2_response",2.59861486201567,2.30293216513471,2.85670143732551,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatCan"
"c3_response",2.42157516600034,2.14754723706973,2.65700673446585,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatCan"
"Intercept",0.349657013326379,0.264210413583432,0.436245185673849,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatOth"
"Slope",-0.0273503793755287,-0.043081669534156,-0.0117526475699291,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatOth"
"c1_response",0.32230663395085,0.239567583244834,0.406280901554177,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatOth"
"c2_response",0.294956254575322,0.216579658546876,0.378699004038727,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatOth"
"c3_response",0.267605875199793,0.188982320343261,0.353363867417667,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatOth"
"Intercept",3.31852815574193,2.94003617864584,3.68257860290148,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Total"
"Slope",-0.206456977831896,-0.27323584806439,-0.138617438410844,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Total"
"c1_response",3.11207117791003,2.77291961508752,3.43629246449097,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Total"
"c2_response",2.90561420007813,2.5906255320723,3.19799722537194,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Total"
"c3_response",2.69915722224624,2.40454772598677,2.97953990827955,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Total"
"Intercept",1.56071853841242,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Exotic"
"Slope",-0.0421906051127849,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Exotic"
"c1_response",1.51852793329964,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Exotic"
"c2_response",1.47633732818685,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Exotic"
"c3_response",1.43414672307407,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Exotic"
"Intercept",173.397067068059,151.598429652157,192.110024808662,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatCan"
"Slope",-10.7078665687125,-14.2684412424395,-7.05723309267209,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatCan"
"c1_response",162.689200499346,143.186918795137,178.860646312581,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatCan"
"c2_response",151.981333930633,134.215292876787,167.009005326967,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatCan"
"c3_response",141.273467361921,124.843823016485,156.331856013443,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatCan"
"Intercept",23.2282631223103,17.53044444824,29.7219785293451,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatOth"
"Slope",-1.95868488456023,-3.02533013178198,-0.949535145104394,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatOth"
"c1_response",21.2695782377501,16.2474927016266,27.2147553052161,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatOth"
"c2_response",19.3108933531899,14.7100583225057,25.0085929674742,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatOth"
"c3_response",17.3522084686296,12.8539084711689,23.0755866929545,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatOth"
"Intercept",197.96621025943,177.063548374713,217.196668663843,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Total"
"Slope",-12.7055107044676,-16.7888637700102,-9.04107238246028,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Total"
"c1_response",185.260699554962,166.000963951154,201.781304698817,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Total"
"c2_response",172.555188850494,153.898105557598,187.71804373169,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Total"
"c3_response",159.849678146027,142.213254771247,173.691093377961,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Total"
"Intercept",0.0624469566139806,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Exotic"
"Slope",-0.00909144400186022,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Exotic"
"c1_response",0.0533555126121203,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Exotic"
"c2_response",0.0442640686102601,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Exotic"
"c3_response",0.0351726246083999,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Exotic"
"Intercept",4.97401740975909,4.36967674245667,5.45868064849864,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_NatCan"
"Slope",-0.163391634158307,-0.268687193512073,-0.0508740680685808,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_NatCan"
"c1_response",4.81062577560078,4.22751909073534,5.26104965088004,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_NatCan"
"c2_response",4.64723414144248,4.088709509458,5.073413373784,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_NatCan"
"c3_response",4.48384250728417,3.91496512060215,4.93167191517222,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_NatCan"
"Intercept",0.434189466861846,0.288963585915878,0.585330467791893,979,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_NatOth"
"Slope",-0.0670950684801851,-0.116556573604847,-0.0271770400316899,979,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_NatOth"
"c1_response",0.36709439838166,0.246879725198793,0.488097078465054,979,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_NatOth"
"c2_response",0.299999329901475,0.197464908158008,0.397927480979856,979,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_NatOth"
"c3_response",0.23290426142129,0.130579360551268,0.331430830511505,979,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_NatOth"
"Intercept",5.41200901377421,4.7696673787127,5.96047962991616,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Total"
"Slope",-0.23943892025042,-0.361565378099307,-0.115302990649014,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Total"
"c1_response",5.17257009352379,4.57308609054403,5.6737858769943,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Total"
"c2_response",4.93313117327337,4.34632560907407,5.4322372915877,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Total"
"c3_response",4.69369225302295,4.08600497978299,5.1797674865648,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Total"
"Intercept",1.26961905895994,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_Exotic"
"Slope",-0.187004865742562,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_Exotic"
"c1_response",1.08261419321738,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_Exotic"
"c2_response",0.89560932747482,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_Exotic"
"c3_response",0.708604461732259,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_Exotic"
"Intercept",103.976536948836,90.590877076976,115.108909101662,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_NatCan"
"Slope",-3.54481226955045,-5.90864703971688,-1.30776998069535,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_NatCan"
"c1_response",100.431724679285,87.6176582323132,111.026553274656,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_NatCan"
"c2_response",96.8869124097347,84.435861484187,107.248514584937,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_NatCan"
"c3_response",93.3421001401842,81.0297147474416,103.393972027171,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_NatCan"
"Intercept",9.1714259728331,5.68892482825202,12.5941721663703,987,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_NatOth"
"Slope",-1.44456677953342,-2.48219530933062,-0.569019796754739,987,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_NatOth"
"c1_response",7.72685919329968,5.07327319815203,10.3597870017397,987,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_NatOth"
"c2_response",6.28229241376627,4.04011679779161,8.39970574184329,987,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_NatOth"
"c3_response",4.83772563423285,2.77833073049745,6.65441074277788,987,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_NatOth"
"Intercept",113.066418394618,99.7824731317457,125.09890010281,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_Total"
"Slope",-5.17463292569319,-7.72524368108491,-2.6936972110471,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_Total"
"c1_response",107.891785468925,95.3471068348925,119.31482998959,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_Total"
"c2_response",102.717152543232,90.7608696995618,113.223235007266,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_Total"
"c3_response",97.5425196175389,85.5489368965992,108.205726382751,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_Dens_Total"
"Intercept",0.0379929896388433,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_Exotic"
"Slope",0.0153090396687362,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_Exotic"
"c1_response",0.0533020293075795,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_Exotic"
"c2_response",0.0686110689763157,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_Exotic"
"c3_response",0.0839201086450519,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_Exotic"
"Intercept",5.72675459861652,5.0928286130669,6.46403092751701,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_NatCan"
"Slope",-0.141986156093511,-0.303163822795801,-0.000102253086716766,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_NatCan"
"c1_response",5.58476844252301,4.98068237322249,6.22413193540039,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_NatCan"
"c2_response",5.4427822864295,4.86153676975447,6.10289204251686,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_NatCan"
"c3_response",5.30079613033598,4.71950241947146,5.93116171605202,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_NatCan"
"Intercept",0.354523073867985,0.217850039302755,0.513545932441907,997,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_NatOth"
"Slope",-0.034774380132357,-0.0724377256592297,0.00276078196519483,997,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_NatOth"
"c1_response",0.319748693735628,0.200294107594719,0.481663272133297,997,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_NatOth"
"c2_response",0.284974313603271,0.16996823086541,0.452066540032038,997,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_NatOth"
"c3_response",0.250199933470914,0.127218796570069,0.426279752987768,997,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_NatOth"
"Intercept",6.09097480509367,5.41840800559776,6.78329627713724,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_Total"
"Slope",-0.161051521935882,-0.333802271813081,0.0146303093917014,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_Total"
"c1_response",5.92992328315779,5.33479715670905,6.56547603542068,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_Total"
"c2_response",5.76887176122191,5.22209152770088,6.37382575407054,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_Total"
"c3_response",5.60782023928602,4.97793817867004,6.22690012928186,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_BA_Total"
"Intercept",0.399488654507211,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_Exotic"
"Slope",0.15228082197272,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_Exotic"
"c1_response",0.551769476479932,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_30cm_Dens_Exotic"
