"park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order"
"CHOH",11,"Tree Density","Total","signdec_bad",6,"Imminent Failure","Tree Density"
"CHOH",12,"Sapling BA","Total","nonsign",6,"Imminent Failure","Sapling BA"
"CHOH",13,"Sapling Density","Total","nonsign",6,"Imminent Failure","Sapling Density"
"CHOH",14,"Seedling Density","Total","nonsign",6,"Imminent Failure","Seedling Density"
"CHOH",15,"Tree BA","Native Canopy","signinc_good",6,"Imminent Failure","Tree BA"
"CHOH",16,"Tree Density","Native Canopy","nonsign",6,"Imminent Failure","Tree Density"
"CHOH",17,"Sapling BA","Native Canopy","signdec_bad",6,"Imminent Failure","Sapling BA"
"CHOH",18,"Sapling Density","Native Canopy","signdec_bad",6,"Imminent Failure","Sapling Density"
"CHOH",19,"Seedling Density","Native Canopy","nonsign",6,"Imminent Failure","Seedling Density"
"CHOH",30,"Stocking Index","Native Canopy","signdec_bad",6,"Imminent Failure","Stocking Index"
"CHOH",20,"Tree BA","Native Subcan.","signdec_bad",6,"Imminent Failure","Tree BA"
"CHOH",21,"Tree Density","Native Subcan.","signdec_bad",6,"Imminent Failure","Tree Density"
"CHOH",22,"Sapling BA","Native Subcan.","nonsign",6,"Imminent Failure","Sapling BA"
"CHOH",23,"Sapling Density","Native Subcan.","signinc_good",6,"Imminent Failure","Sapling Density"
"CHOH",24,"Seedling Density","Native Subcan.","signinc_good",6,"Imminent Failure","Seedling Density"
"CHOH",25,"Tree BA","Exotic","nonsign",6,"Imminent Failure","Tree BA"
"CHOH",26,"Tree Density","Exotic","nonsign",6,"Imminent Failure","Tree Density"
"CHOH",27,"Sapling BA","Exotic","notmod",6,"Imminent Failure","Sapling BA"
"CHOH",28,"Sapling Density","Exotic","notmod",6,"Imminent Failure","Sapling Density"
"CHOH",29,"Seedling Density","Exotic","notmod",6,"Imminent Failure","Seedling Density"
"COLO",1,"Sapling Density","Status","critical",5,"Probable Failure","Sapling Density"
"COLO",2,"Seedling Density","Status","caution",5,"Probable Failure","Seedling Density"
"COLO",3,"% Stocked Plots","Status","critical",5,"Probable Failure","% Stocked Plots"
"COLO",4,"Stocking Index","Status","caution",5,"Probable Failure","Stocking Index"
"COLO",9,"Deer Browse Impacts","Status","critical",5,"Probable Failure","Deer Browse Impacts"
"COLO",10,"Flat Tree Diam. Dist.","Status","acceptable",5,"Probable Failure","Flat Tree Diam. Dist."
"COLO",5,"Sapling Composition","Status","critical",5,"Probable Failure","Sapling Composition"
"COLO",6,"Seedling Composition","Status","critical",5,"Probable Failure","Seedling Composition"
"COLO",7,"Sorensen Sapling","Status","acceptable",5,"Probable Failure","Sorensen Sapling"
"COLO",8,"Sorensen Seedling","Status","acceptable",5,"Probable Failure","Sorensen Seedling"
"COLO",10,"Tree BA","Total","signinc_good",5,"Probable Failure","Tree BA"
"COLO",11,"Tree Density","Total","signinc_good",5,"Probable Failure","Tree Density"
"COLO",12,"Sapling BA","Total","nonsign",5,"Probable Failure","Sapling BA"
"COLO",13,"Sapling Density","Total","signdec_bad",5,"Probable Failure","Sapling Density"
"COLO",14,"Seedling Density","Total","nonsign",5,"Probable Failure","Seedling Density"
"COLO",15,"Tree BA","Native Canopy","signinc_good",5,"Probable Failure","Tree BA"
"COLO",16,"Tree Density","Native Canopy","nonsign",5,"Probable Failure","Tree Density"
"COLO",17,"Sapling BA","Native Canopy","nonsign",5,"Probable Failure","Sapling BA"
"COLO",18,"Sapling Density","Native Canopy","nonsign",5,"Probable Failure","Sapling Density"
"COLO",19,"Seedling Density","Native Canopy","signdec_bad",5,"Probable Failure","Seedling Density"
"COLO",30,"Stocking Index","Native Canopy","nonsign",5,"Probable Failure","Stocking Index"
"COLO",20,"Tree BA","Native Subcan.","signinc_good",5,"Probable Failure","Tree BA"
"COLO",21,"Tree Density","Native Subcan.","signinc_good",5,"Probable Failure","Tree Density"
"COLO",22,"Sapling BA","Native Subcan.","nonsign",5,"Probable Failure","Sapling BA"
"COLO",23,"Sapling Density","Native Subcan.","signdec_bad",5,"Probable Failure","Sapling Density"
"COLO",24,"Seedling Density","Native Subcan.","nonsign",5,"Probable Failure","Seedling Density"
"COLO",25,"Tree BA","Exotic","notmod",5,"Probable Failure","Tree BA"
"COLO",26,"Tree Density","Exotic","notmod",5,"Probable Failure","Tree Density"
"COLO",27,"Sapling BA","Exotic","notmod",5,"Probable Failure","Sapling BA"
"COLO",28,"Sapling Density","Exotic","notmod",5,"Probable Failure","Sapling Density"
"COLO",29,"Seedling Density","Exotic","notmod",5,"Probable Failure","Seedling Density"
"DEWA",1,"Sapling Density","Status","critical",4,"Probable Failure","Sapling Density"
"DEWA",2,"Seedling Density","Status","caution",4,"Probable Failure","Seedling Density"
"DEWA",3,"% Stocked Plots","Status","critical",4,"Probable Failure","% Stocked Plots"
