"term","estimate","lower95","upper95","num_boots","park","resp","Network","lat_rank","park_ord","network_ord","strp_col"
"Slope",-2.1639555524794,-5.47384550296205,1.74635429942383,1000,"ALPO","stock_final","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",21.0685407397151,10.6783273527532,36.7144859382269,1000,"ALPO","stock_final","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",18.9045851872357,8.84388231345931,34.3961051947337,1000,"ALPO","stock_final","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",16.7406296347563,6.0693709875559,33.5588992024581,1000,"ALPO","stock_final","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.190323298993356,0.0285342188922701,0.411390710283884,997,"ALPO","tree_10cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.0227768001952257,-0.059575408644582,0.00391773911260647,997,"ALPO","tree_10cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.167546498798131,0.0229140637057827,0.355996918039039,997,"ALPO","tree_10cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.144769698602905,0.0182042694021613,0.304297514332089,997,"ALPO","tree_10cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.121992898407679,0.0132218252627429,0.257097811850292,997,"ALPO","tree_10cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",3.02263544717019,2.22459220781989,3.86316109088822,1000,"ALPO","tree_10cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.236801236103806,-0.387075336778068,-0.109137753221546,1000,"ALPO","tree_10cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",2.78583421106639,2.08895058589219,3.52717935723803,1000,"ALPO","tree_10cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",2.54903297496258,1.92564398575214,3.18406757617462,1000,"ALPO","tree_10cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",2.31223173885878,1.75296604090026,2.89083074423989,1000,"ALPO","tree_10cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.522407280559086,0.274512210327612,0.801428245407534,999,"ALPO","tree_10cm_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.0959031481022355,-0.162784155403209,-0.0390494559418485,999,"ALPO","tree_10cm_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.42650413245685,0.221111821100348,0.656120428844128,999,"ALPO","tree_10cm_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.330600984354615,0.163714190138434,0.52077599064842,999,"ALPO","tree_10cm_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.234697836252379,0.0929460800795027,0.403110798197647,999,"ALPO","tree_10cm_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",3.73588288888054,2.88672818430564,4.68798899580345,1000,"ALPO","tree_10cm_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.355868831019777,-0.508142533760019,-0.212110466823745,1000,"ALPO","tree_10cm_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",3.38001405786076,2.64879067300836,4.1956257734438,1000,"ALPO","tree_10cm_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",3.02414522684099,2.37512888505207,3.70700510633044,1000,"ALPO","tree_10cm_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",2.66827639582121,2.0972898628679,3.26772379647865,1000,"ALPO","tree_10cm_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",13.9157353100589,3.00443119273783,31.2024834218424,964,"ALPO","tree_10cm_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-1.88959157575733,-4.71520249073882,-0.30841363572274,964,"ALPO","tree_10cm_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",12.0261437343015,2.55476148037033,26.3821415749204,964,"ALPO","tree_10cm_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",10.1365521585442,2.14952107408564,21.988467203675,964,"ALPO","tree_10cm_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",8.24696058278687,1.3796684359496,17.5018449943081,964,"ALPO","tree_10cm_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",171.561715999077,126.596175640533,220.000785223125,1000,"ALPO","tree_10cm_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-14.1681473859775,-23.2045568808993,-6.18935889801802,1000,"ALPO","tree_10cm_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",157.393568613099,117.101726547418,200.076664502105,1000,"ALPO","tree_10cm_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",143.225421227122,108.322632383614,180.963078455319,1000,"ALPO","tree_10cm_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",129.057273841145,97.6837793314555,162.913501921447,1000,"ALPO","tree_10cm_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",32.0589001729765,16.7208833640223,48.4909061468627,1000,"ALPO","tree_10cm_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-5.77082981177406,-9.98304540865196,-1.96134952417704,1000,"ALPO","tree_10cm_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",26.2880703612024,14.3098636169248,39.432734635668,1000,"ALPO","tree_10cm_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",20.5172405494284,11.5273336396684,31.4035076728327,1000,"ALPO","tree_10cm_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",14.7464107376543,6.45587925565436,23.8493877415343,1000,"ALPO","tree_10cm_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
