"mg_short","lat_rank","metric","mean","lower95","upper95"
"Floodplain",4,"Seed_Dens_Total",0.679650745946158,0.490795668833656,0.892208724297692
"Floodplain",4,"Sap_Dens_NatCan",0.0394955819843517,0.0136355520254853,0.0842227923410234
"Floodplain",4,"Seed_Dens_NatCan",0.203428700511702,0.119458672940965,0.306371203973796
"Floodplain",4,"Sor_sap",0.253395594304685,0.19212234482689,0.319558494535767
"Floodplain",4,"Hor_sap",0.505208726197882,0.396867231261295,0.617750261501232
"Floodplain",4,"Sor_seed",0.272983609830015,0.212013231377587,0.341083518695175
"Floodplain",4,"Hor_seed",0.636294047963772,0.521990008174371,0.735414190336567
"Southern Ruderal",1,"stock_final",28.2884552880258,18.059356209153,41.1231634423052
"Southern Ruderal",1,"Sap_Dens_Total",0.120642699175488,0.0984913191898102,0.145087584586493
"Southern Ruderal",1,"Seed_Dens_Total",0.797764227642277,0.550787601626016,1.10876524390244
"Southern Ruderal",1,"Sap_Dens_NatCan",0.0632691151814242,0.0474482415499783,0.0805243284127217
"Southern Ruderal",1,"Seed_Dens_NatCan",0.388211382113821,0.241869918699187,0.561051829268293
"Southern Ruderal",1,"Sor_sap",0.366428625574967,0.326866065844724,0.405972817832574
"Southern Ruderal",1,"Hor_sap",0.573217553797055,0.513123777488611,0.637821830464768
"Southern Ruderal",1,"Sor_seed",0.228177242811389,0.188758358849822,0.270541323513884
"Southern Ruderal",1,"Hor_seed",0.666047396961129,0.594430945115846,0.736112698501522
